Country code,Zip code,T12,T09,T10
RO,010301,x,,
RO,010302,x,,
RO,010303,x,,
RO,010304,x,,
RO,010305,x,,
RO,010306,x,,
RO,010307,x,,
RO,010308,x,,
RO,010311,x,,
RO,010312,x,,
RO,010313,x,,
RO,010314,x,,
RO,010321,x,,
RO,010322,x,,
RO,010323,x,,
RO,010324,x,,
RO,010325,x,,
RO,010326,x,,
RO,010331,x,,
RO,010332,x,,
RO,010333,x,,
RO,010334,x,,
RO,010335,x,,
RO,010336,x,,
RO,010337,x,,
RO,010341,x,,
RO,010342,x,,
RO,010343,x,,
RO,010344,x,,
RO,010345,x,,
RO,010346,x,,
RO,010351,x,,
RO,010352,x,,
RO,010353,x,,
RO,010354,x,,
RO,010355,x,,
RO,010361,x,,
RO,010362,x,,
RO,010363,x,,
RO,010364,x,,
RO,010365,x,,
RO,010366,x,,
RO,010367,x,,
RO,010371,x,,
RO,010372,x,,
RO,010373,x,,
RO,010374,x,,
RO,010375,x,,
RO,010381,x,,
RO,010382,x,,
RO,010383,x,,
RO,010384,x,,
RO,010385,x,,
RO,010386,x,,
RO,010391,x,,
RO,010392,x,,
RO,010393,x,,
RO,010394,x,,
RO,010395,x,,
RO,010401,x,,
RO,010402,x,,
RO,010403,x,,
RO,010404,x,,
RO,010405,x,,
RO,010406,x,,
RO,010407,x,,
RO,010411,x,,
RO,010412,x,,
RO,010413,x,,
RO,010414,x,,
RO,010415,x,,
RO,010416,x,,
RO,010421,x,,
RO,010422,x,,
RO,010423,x,,
RO,010424,x,,
RO,010431,x,,
RO,010432,x,,
RO,010433,x,,
RO,010434,x,,
RO,010435,x,,
RO,010436,x,,
RO,010437,x,,
RO,010441,x,,
RO,010442,x,,
RO,010443,x,,
RO,010444,x,,
RO,010445,x,,
RO,010446,x,,
RO,010447,x,,
RO,010448,x,,
RO,010449,x,,
RO,010451,x,,
RO,010452,x,,
RO,010453,x,,
RO,010454,x,,
RO,010455,x,,
RO,010456,x,,
RO,010457,x,,
RO,010458,x,,
RO,010459,x,,
RO,010461,x,,
RO,010462,x,,
RO,010463,x,,
RO,010464,x,,
RO,010465,x,,
RO,010471,x,,
RO,010472,x,,
RO,010473,x,,
RO,010474,x,,
RO,010475,x,,
RO,010476,x,,
RO,010477,x,,
RO,010478,x,,
RO,010481,x,,
RO,010482,x,,
RO,010483,x,,
RO,010484,x,,
RO,010485,x,,
RO,010486,x,,
RO,010487,x,,
RO,010491,x,,
RO,010492,x,,
RO,010493,x,,
RO,010494,x,,
RO,010495,x,,
RO,010496,x,,
RO,010497,x,,
RO,010498,x,,
RO,010501,x,,
RO,010502,x,,
RO,010503,x,,
RO,010504,x,,
RO,010505,x,,
RO,010506,x,,
RO,010507,x,,
